feature_number,feature_name,importance
21,RL_num_opacity_regions,0.5336074652732115
24,RL_patch_irregularity,0.1484842374134571
31,RL_lower_zone_edge_density_ratio,0.10259567046270644
29,LL_patch_irregularity,0.09827810266406757
39,border_continuity_score,0.053049527294602855
38,border_gradient_mean,0.030097172756452545
3,RL_std_edge_strength,0.021442495126705628
25,RL_patch_edge_blur,0.005274624469670949
11,LL_thick_edge_ratio,0.0037593984962406143
35,LL_lower_zone_opacity_ratio,0.0034113060428849974
1,RL_edge_density,0.0
2,RL_mean_edge_strength,0.0
4,RL_thin_edge_ratio,0.0
5,RL_thick_edge_ratio,0.0
6,RL_orientation_entropy,0.0
7,LL_edge_density,0.0
8,LL_mean_edge_strength,0.0
9,LL_std_edge_strength,0.0
10,LL_thin_edge_ratio,0.0
12,LL_orientation_entropy,0.0
13,RL_missing_edge_ratio,0.0
14,RL_low_gradient_area_ratio,0.0
15,RL_edge_gap_count,0.0
16,RL_mean_gap_length,0.0
17,LL_missing_edge_ratio,0.0
18,LL_low_gradient_area_ratio,0.0
19,LL_edge_gap_count,0.0
20,LL_mean_gap_length,0.0
22,RL_largest_patch_ratio,0.0
23,RL_mean_patch_edge_strength,0.0
26,LL_num_opacity_regions,0.0
27,LL_largest_patch_ratio,0.0
28,LL_mean_patch_edge_strength,0.0
30,LL_patch_edge_blur,0.0
32,RL_lower_zone_opacity_ratio,0.0
33,RL_upper_vs_lower_edge_drop,0.0
34,LL_lower_zone_edge_density_ratio,0.0
36,LL_upper_vs_lower_edge_drop,0.0
37,heart_lung_edge_density,0.0
40,edge_density_diff,0.0
41,mean_gradient_diff,0.0
42,opacity_area_diff,0.0
43,missing_edge_diff,0.0
