feature_number,feature_name,importance
24,RL_patch_irregularity,0.13093589714620685
26,LL_num_opacity_regions,0.12255969923884087
21,RL_num_opacity_regions,0.09335017448742444
16,RL_mean_gap_length,0.0796779180040657
29,LL_patch_irregularity,0.0782469083793125
20,LL_mean_gap_length,0.0689173525574063
33,RL_upper_vs_lower_edge_drop,0.046968190851203385
37,heart_lung_edge_density,0.042482070976825555
31,RL_lower_zone_edge_density_ratio,0.04224967252819991
34,LL_lower_zone_edge_density_ratio,0.030783901941025933
3,RL_std_edge_strength,0.028688681319043178
39,border_continuity_score,0.027171838314021115
11,LL_thick_edge_ratio,0.024550387701552406
38,border_gradient_mean,0.02240009481021457
1,RL_edge_density,0.01448262981789583
41,mean_gradient_diff,0.014248615141762592
9,LL_std_edge_strength,0.014019436203844991
4,RL_thin_edge_ratio,0.012174502930043915
18,LL_low_gradient_area_ratio,0.011731057714054322
42,opacity_area_diff,0.010664934878170598
30,LL_patch_edge_blur,0.008196247781015104
7,LL_edge_density,0.007513559607793306
28,LL_mean_patch_edge_strength,0.0068560891046857446
2,RL_mean_edge_strength,0.006038913428326969
25,RL_patch_edge_blur,0.006004842666870237
12,LL_orientation_entropy,0.0053978135476034205
36,LL_upper_vs_lower_edge_drop,0.005137702238940489
8,LL_mean_edge_strength,0.004557156255948173
23,RL_mean_patch_edge_strength,0.00441280518413246
40,edge_density_diff,0.0044046254318752176
32,RL_lower_zone_opacity_ratio,0.0038336614358702946
14,RL_low_gradient_area_ratio,0.0037421726336977733
5,RL_thick_edge_ratio,0.003403848814259007
43,missing_edge_diff,0.003387172087370833
10,LL_thin_edge_ratio,0.003011072833759494
22,RL_largest_patch_ratio,0.0028114132156456884
6,RL_orientation_entropy,0.0018373840968778177
27,LL_largest_patch_ratio,0.0012707413935944913
17,LL_missing_edge_ratio,0.0011563474302982825
35,LL_lower_zone_opacity_ratio,0.0007224658703202251
13,RL_missing_edge_ratio,0.0
15,RL_edge_gap_count,0.0
19,LL_edge_gap_count,0.0
