feature_number,feature_name,importance
5,left_lung_base_std_intensity,0.07884125395422052
27,right_heart_border_edge_density,0.07296584547890735
17,left_lung_lbp_entropy,0.06519359698391272
43,right_lung_lbp_entropy,0.056433310059665315
42,right_lung_largest_patch_area,0.053259966140696446
33,right_lung_consolidation_ratio,0.053056731115718216
16,left_lung_largest_patch_area,0.052200942088616795
2,left_heart_border_intensity_diff,0.04714122620410618
11,left_lung_glcm_correlation,0.03626542982785076
1,left_heart_border_edge_density,0.03614950659247393
38,right_lung_glcm_energy,0.03177547591945926
36,right_lung_glcm_contrast,0.030728504948106465
18,left_lung_lower_mean,0.02992658247598885
37,right_lung_glcm_correlation,0.02127189236341653
7,left_lung_consolidation_ratio,0.020380395345506244
21,left_lung_mean_patch_area,0.019280502354719852
25,left_lung_total_opacity_ratio,0.017730559377263623
47,right_lung_mean_patch_area,0.017725408914755433
34,right_lung_dark_line_density,0.016822213742593316
26,left_lung_upper_mean,0.015422294575937152
49,right_lung_num_patches,0.01502631672522028
12,left_lung_glcm_energy,0.014413097337385567
9,left_lung_edge_density,0.014380035131060094
32,right_lung_bronchogram_score,0.01328652660981557
6,left_lung_bronchogram_score,0.013081075492612105
13,left_lung_glcm_homogeneity,0.01270569390020863
45,right_lung_max_intensity,0.012653937336594177
24,left_lung_std_intensity,0.012138352187474917
8,left_lung_dark_line_density,0.011307398774696588
35,right_lung_edge_density,0.011078097097930823
40,right_lung_intensity_kurtosis,0.01064233789213502
51,right_lung_total_opacity_ratio,0.009782304917347703
44,right_lung_lower_mean,0.009477758903591867
4,left_lung_base_mean_intensity,0.009240483458640147
50,right_lung_std_intensity,0.007066642764764011
20,left_lung_mean_intensity,0.006525214620141815
30,right_lung_base_mean_intensity,0.006286143229900749
3,left_lung_base_angle,0.00546671175399266
31,right_lung_base_std_intensity,0.0049447737347872054
41,right_lung_intensity_skew,0.004784938586767999
10,left_lung_glcm_contrast,0.004059473177866898
52,right_lung_upper_mean,0.003979377711198368
28,right_heart_border_intensity_diff,0.003342589935163638
22,left_lung_middle_mean,0.0031712887468589358
48,right_lung_middle_mean,0.002785464584965284
46,right_lung_mean_intensity,0.0019180524586572614
15,left_lung_intensity_skew,0.001520604945186853
39,right_lung_glcm_homogeneity,0.001447373121274604
29,right_lung_base_angle,0.0009162963998452657
14,left_lung_intensity_kurtosis,0.0
19,left_lung_max_intensity,0.0
23,left_lung_num_patches,0.0
