class,x,y,landmark_index
RL,478,157,0
RL,445,166,1
RL,412,196,2
RL,378,226,3
RL,351,255,4
RL,330,287,5
RL,314,318,6
RL,298,346,7
RL,281,379,8
RL,269,416,9
RL,257,452,10
RL,244,486,11
RL,237,518,12
RL,230,553,13
RL,217,586,14
RL,209,622,15
RL,202,654,16
RL,194,687,17
RL,189,723,18
RL,180,755,19
RL,172,790,20
RL,176,826,21
RL,198,794,22
RL,230,761,23
RL,269,731,24
RL,313,704,25
RL,359,690,26
RL,405,680,27
RL,448,671,28
RL,477,667,29
RL,467,632,30
RL,443,595,31
RL,426,559,32
RL,426,524,33
RL,438,490,34
RL,448,454,35
RL,457,416,36
RL,474,373,37
RL,500,335,38
RL,518,299,39
RL,532,263,40
RL,544,227,41
RL,544,191,42
RL,518,161,43
LL,832,141,0
LL,868,159,1
LL,901,184,2
LL,934,213,3
LL,963,246,4
LL,985,273,5
LL,1001,305,6
LL,1019,340,7
LL,1033,373,8
LL,1048,410,9
LL,1066,445,10
LL,1082,483,11
LL,1097,516,12
LL,1112,548,13
LL,1127,587,14
LL,1141,621,15
LL,1155,655,16
LL,1170,696,17
LL,1183,731,18
LL,1189,763,19
LL,1190,796,20
LL,1184,824,21
LL,1166,798,22
LL,1139,764,23
LL,1105,745,24
LL,1067,729,25
LL,1018,725,26
LL,979,717,27
LL,974,690,28
LL,985,663,29
LL,1000,633,30
LL,1010,600,31
LL,1003,563,32
LL,989,530,33
LL,966,501,34
LL,936,476,35
LL,901,452,36
LL,874,426,37
LL,860,398,38
LL,843,365,39
LL,828,332,40
LL,817,305,41
LL,810,276,42
LL,794,256,43
LL,769,244,44
LL,760,218,45
LL,756,192,46
LL,758,168,47
LL,775,147,48
LL,801,135,49
H,477,655,0
H,444,611,1
H,429,565,2
H,427,520,3
H,442,473,4
H,466,429,5
H,513,403,6
H,574,390,7
H,626,390,8
H,677,391,9
H,724,391,10
H,770,390,11
H,827,404,12
H,883,443,13
H,940,501,14
H,981,549,15
H,1003,599,16
H,1005,650,17
H,973,695,18
H,917,717,19
H,855,729,20
H,795,739,21
H,735,738,22
H,670,728,23
H,605,715,24
H,536,691,25
