class,x,y,landmark_index
RL,492,221,0
RL,454,235,1
RL,419,273,2
RL,385,315,3
RL,361,354,4
RL,345,398,5
RL,331,440,6
RL,317,477,7
RL,299,520,8
RL,277,563,9
RL,262,611,10
RL,247,652,11
RL,239,693,12
RL,233,739,13
RL,222,781,14
RL,218,825,15
RL,215,866,16
RL,209,910,17
RL,208,955,18
RL,206,996,19
RL,204,1038,20
RL,211,1078,21
RL,234,1026,22
RL,267,976,23
RL,314,934,24
RL,370,903,25
RL,431,891,26
RL,492,887,27
RL,550,883,28
RL,589,883,29
RL,579,840,30
RL,553,792,31
RL,537,745,32
RL,540,698,33
RL,557,650,34
RL,573,601,35
RL,590,552,36
RL,605,494,37
RL,620,443,38
RL,619,396,39
RL,612,350,40
RL,603,305,41
RL,585,260,42
RL,543,225,43
LL,918,176,0
LL,960,190,1
LL,997,215,2
LL,1035,252,3
LL,1063,295,4
LL,1082,334,5
LL,1101,375,6
LL,1125,415,7
LL,1147,455,8
LL,1167,496,9
LL,1193,538,10
LL,1216,580,11
LL,1236,621,12
LL,1253,659,13
LL,1266,705,14
LL,1281,745,15
LL,1294,790,16
LL,1307,840,17
LL,1321,883,18
LL,1328,923,19
LL,1327,969,20
LL,1320,1009,21
LL,1295,981,22
LL,1259,942,23
LL,1222,915,24
LL,1182,893,25
LL,1131,886,26
LL,1089,876,27
LL,1082,844,28
LL,1091,816,29
LL,1103,784,30
LL,1105,747,31
LL,1093,709,32
LL,1078,673,33
LL,1053,642,34
LL,1026,611,35
LL,999,579,36
LL,978,545,37
LL,961,513,38
LL,939,477,39
LL,919,444,40
LL,902,420,41
LL,885,391,42
LL,857,371,43
LL,821,357,44
LL,810,322,45
LL,809,281,46
LL,813,240,47
LL,837,201,48
LL,873,178,49
H,576,867,0
H,546,814,1
H,534,755,2
H,534,700,3
H,552,641,4
H,582,587,5
H,627,558,6
H,680,541,7
H,729,539,8
H,775,542,9
H,822,545,10
H,869,543,11
H,928,562,12
H,988,608,13
H,1042,671,14
H,1082,723,15
H,1107,773,16
H,1114,826,17
H,1090,878,18
H,1034,912,19
H,965,936,20
H,898,958,21
H,832,964,22
H,767,959,23
H,701,944,24
H,635,914,25
