class,x,y,landmark_index
RL,705,262,0
RL,651,271,1
RL,594,307,2
RL,532,349,3
RL,477,398,4
RL,432,449,5
RL,397,504,6
RL,366,555,7
RL,338,608,8
RL,317,665,9
RL,295,719,10
RL,274,776,11
RL,257,831,12
RL,243,887,13
RL,226,942,14
RL,211,1001,15
RL,200,1053,16
RL,187,1107,17
RL,176,1163,18
RL,165,1214,19
RL,157,1270,20
RL,163,1317,21
RL,201,1261,22
RL,260,1211,23
RL,329,1171,24
RL,403,1145,25
RL,471,1137,26
RL,540,1137,27
RL,608,1138,28
RL,662,1137,29
RL,660,1075,30
RL,645,1010,31
RL,642,949,32
RL,656,890,33
RL,674,828,34
RL,686,768,35
RL,698,706,36
RL,715,640,37
RL,744,579,38
RL,767,518,39
RL,787,457,40
RL,800,395,41
RL,800,333,42
RL,765,279,43
LL,1120,296,0
LL,1173,322,1
LL,1219,364,2
LL,1268,419,3
LL,1310,479,4
LL,1339,535,5
LL,1362,593,6
LL,1385,649,7
LL,1406,706,8
LL,1423,765,9
LL,1438,821,10
LL,1451,882,11
LL,1464,938,12
LL,1472,992,13
LL,1475,1053,14
LL,1478,1107,15
LL,1483,1163,16
LL,1486,1222,17
LL,1492,1278,18
LL,1492,1333,19
LL,1484,1391,20
LL,1470,1437,21
LL,1447,1401,22
LL,1419,1354,23
LL,1386,1320,24
LL,1345,1290,25
LL,1296,1271,26
LL,1257,1253,27
LL,1251,1215,28
LL,1256,1171,29
LL,1262,1122,30
LL,1263,1072,31
LL,1251,1019,32
LL,1230,972,33
LL,1204,925,34
LL,1177,879,35
LL,1153,832,36
LL,1134,784,37
LL,1121,737,38
LL,1103,688,39
LL,1084,643,40
LL,1071,603,41
LL,1064,557,42
LL,1045,519,43
LL,1009,489,44
LL,992,444,45
LL,986,395,46
LL,993,348,47
LL,1022,309,48
LL,1066,288,49
H,655,1132,0
H,632,1060,1
H,632,989,2
H,644,919,3
H,672,840,4
H,707,769,5
H,752,727,6
H,809,701,7
H,862,692,8
H,916,692,9
H,968,694,10
H,1013,699,11
H,1067,736,12
H,1123,814,13
H,1183,911,14
H,1232,995,15
H,1266,1083,16
H,1287,1172,17
H,1264,1237,18
H,1199,1267,19
H,1117,1274,20
H,1036,1279,21
H,948,1267,22
H,868,1248,23
H,789,1225,24
H,715,1189,25
