class,x,y,landmark_index
RL,856,270,0
RL,795,277,1
RL,726,317,2
RL,654,369,3
RL,587,427,4
RL,529,492,5
RL,483,557,6
RL,448,617,7
RL,415,684,8
RL,388,752,9
RL,368,822,10
RL,346,890,11
RL,326,955,12
RL,314,1027,13
RL,292,1093,14
RL,279,1166,15
RL,268,1232,16
RL,253,1299,17
RL,244,1367,18
RL,233,1427,19
RL,221,1490,20
RL,227,1542,21
RL,269,1469,22
RL,332,1397,23
RL,420,1340,24
RL,515,1298,25
RL,607,1282,26
RL,695,1278,27
RL,778,1278,28
RL,834,1280,29
RL,820,1213,30
RL,788,1141,31
RL,768,1068,32
RL,771,999,33
RL,795,926,34
RL,826,855,35
RL,866,788,36
RL,897,712,37
RL,926,643,38
RL,947,575,39
RL,961,504,40
RL,970,430,41
RL,962,356,42
RL,919,292,43
LL,1341,318,0
LL,1390,345,1
LL,1437,392,2
LL,1491,451,3
LL,1547,514,4
LL,1595,572,5
LL,1632,633,6
LL,1665,696,7
LL,1698,761,8
LL,1721,826,9
LL,1740,889,10
LL,1756,956,11
LL,1769,1016,12
LL,1779,1078,13
LL,1784,1143,14
LL,1788,1205,15
LL,1793,1270,16
LL,1794,1339,17
LL,1798,1402,18
LL,1795,1460,19
LL,1788,1521,20
LL,1774,1563,21
LL,1745,1506,22
LL,1700,1438,23
LL,1640,1393,24
LL,1570,1355,25
LL,1492,1341,26
LL,1435,1333,27
LL,1441,1296,28
LL,1466,1255,29
LL,1490,1212,30
LL,1499,1167,31
LL,1492,1113,32
LL,1479,1061,33
LL,1457,1007,34
LL,1431,955,35
LL,1397,904,36
LL,1367,850,37
LL,1344,800,38
LL,1313,747,39
LL,1288,699,40
LL,1275,659,41
LL,1268,614,42
LL,1244,579,43
LL,1211,551,44
LL,1206,501,45
LL,1207,444,46
LL,1217,389,47
LL,1247,340,48
LL,1291,313,49
H,831,1267,0
H,790,1183,1
H,774,1093,2
H,774,1005,3
H,800,911,4
H,846,832,5
H,909,790,6
H,983,767,7
H,1048,765,8
H,1110,769,9
H,1172,771,10
H,1231,772,11
H,1300,808,12
H,1365,889,13
H,1424,993,14
H,1467,1082,15
H,1489,1169,16
H,1491,1253,17
H,1455,1322,18
H,1387,1351,19
H,1312,1360,20
H,1234,1373,21
H,1148,1375,22
H,1071,1374,23
H,993,1364,24
H,909,1332,25
