class,x,y,landmark_index
RL,317,99,0
RL,290,108,1
RL,265,127,2
RL,245,147,3
RL,227,166,4
RL,213,188,5
RL,205,207,6
RL,197,224,7
RL,187,245,8
RL,180,268,9
RL,173,291,10
RL,164,311,11
RL,159,328,12
RL,154,349,13
RL,144,369,14
RL,137,389,15
RL,128,408,16
RL,115,425,17
RL,103,445,18
RL,93,463,19
RL,89,482,20
RL,96,502,21
RL,118,478,22
RL,150,456,23
RL,185,441,24
RL,223,427,25
RL,262,425,26
RL,304,423,27
RL,346,421,28
RL,375,421,29
RL,372,396,30
RL,359,370,31
RL,349,347,32
RL,351,325,33
RL,358,302,34
RL,362,279,35
RL,365,255,36
RL,371,225,37
RL,384,199,38
RL,390,177,39
RL,393,155,40
RL,392,133,41
RL,381,111,42
RL,352,97,43
LL,602,70,0
LL,632,83,1
LL,659,100,2
LL,681,122,3
LL,698,144,4
LL,711,164,5
LL,718,186,6
LL,726,209,7
LL,733,230,8
LL,742,254,9
LL,753,277,10
LL,762,301,11
LL,770,323,12
LL,779,345,13
LL,787,371,14
LL,797,393,15
LL,808,417,16
LL,819,444,17
LL,828,470,18
LL,834,491,19
LL,837,513,20
LL,834,532,21
LL,817,512,22
LL,791,491,23
LL,762,481,24
LL,733,472,25
LL,698,470,26
LL,674,465,27
LL,681,446,28
LL,699,425,29
LL,717,400,30
LL,727,376,31
LL,725,351,32
LL,716,328,33
LL,695,307,34
LL,672,288,35
LL,645,270,36
LL,622,249,37
LL,605,228,38
LL,587,205,39
LL,572,185,40
LL,561,171,41
LL,554,154,42
LL,542,144,43
LL,526,138,44
LL,525,122,45
LL,529,105,46
LL,537,89,47
LL,554,75,48
LL,576,67,49
H,367,403,0
H,350,372,1
H,344,344,2
H,345,316,3
H,354,285,4
H,369,258,5
H,390,239,6
H,421,228,7
H,450,224,8
H,480,222,9
H,513,222,10
H,546,224,11
H,592,240,12
H,640,274,13
H,683,320,14
H,713,359,15
H,721,397,16
H,712,434,17
H,683,464,18
H,639,478,19
H,596,484,20
H,555,489,21
H,516,485,22
H,476,473,23
H,437,458,24
H,398,434,25
