class,x,y,landmark_index
RL,452,37,0
RL,423,53,1
RL,391,83,2
RL,361,115,3
RL,339,147,4
RL,323,182,5
RL,312,215,6
RL,302,243,7
RL,291,275,8
RL,279,308,9
RL,269,339,10
RL,257,369,11
RL,247,396,12
RL,237,427,13
RL,225,458,14
RL,214,489,15
RL,206,520,16
RL,197,551,17
RL,194,584,18
RL,192,614,19
RL,192,648,20
RL,199,684,21
RL,218,657,22
RL,243,631,23
RL,271,607,24
RL,304,588,25
RL,346,580,26
RL,394,573,27
RL,441,558,28
RL,479,546,29
RL,480,505,30
RL,467,467,31
RL,457,431,32
RL,456,398,33
RL,457,365,34
RL,456,329,35
RL,455,289,36
RL,460,243,37
RL,476,201,38
RL,491,161,39
RL,504,124,40
RL,515,89,41
RL,512,55,42
RL,487,34,43
LL,763,39,0
LL,798,55,1
LL,834,80,2
LL,870,111,3
LL,895,142,4
LL,911,173,5
LL,921,206,6
LL,931,239,7
LL,939,270,8
LL,949,304,9
LL,967,337,10
LL,984,371,11
LL,998,403,12
LL,1007,435,13
LL,1012,471,14
LL,1017,503,15
LL,1023,537,16
LL,1030,576,17
LL,1035,612,18
LL,1037,643,19
LL,1039,676,20
LL,1038,706,21
LL,1024,685,22
LL,1002,658,23
LL,977,641,24
LL,946,627,25
LL,904,621,26
LL,871,608,27
LL,869,575,28
LL,880,543,29
LL,892,510,30
LL,902,476,31
LL,901,443,32
LL,892,413,33
LL,866,387,34
LL,838,365,35
LL,808,344,36
LL,785,319,37
LL,769,292,38
LL,755,262,39
LL,742,231,40
LL,734,204,41
LL,725,175,42
LL,705,157,43
LL,678,146,44
LL,669,122,45
LL,670,96,46
LL,681,69,47
LL,705,44,48
LL,733,33,49
H,468,513,0
H,451,476,1
H,452,436,2
H,456,396,3
H,468,350,4
H,484,309,5
H,508,281,6
H,536,262,7
H,563,253,8
H,596,250,9
H,635,248,10
H,669,248,11
H,714,268,12
H,770,312,13
H,821,371,14
H,858,428,15
H,880,483,16
H,884,544,17
H,857,597,18
H,807,625,19
H,747,631,20
H,692,636,21
H,637,622,22
H,591,608,23
H,552,587,24
H,507,552,25
